Title,Summary,Published_At,Text_Content
"Men's Health: Benign Prostatic Hyperplasia.","Benign prostatic hyperplasia (BPH) commonly causes lower urinary tract symptoms (LUTS) through narrowing of the urethra and disruption of innervation of the gland. BPH is common in older men. Risk factors include Black race, Hispanic ethnicity, obesity, type 2 diabetes, high levels of alcohol consumption, physical inactivity, and a family history of BPH. The degree of LUTS can be assessed using the American Urological Association Symptom Index (AUASI). Watchful waiting is recommended for men with mild symptoms. Alpha 1 -adrenergic blockers or 5-alpha reductase inhibitors can be used to manage more severe symptoms. (This is an off-label use of some alpha 1 -adrenergic blockers.) Alpha 1 -adrenergic blockers typically are the initial choice. Combination therapy is more effective than monotherapy. Anticholinergics and beta 3 -adrenergic agonists can be used to manage irritative LUTS if the postvoiding residual urine volume is low. (This is an off-label use of anticholinergics and beta 3 -adrenergic agonists.) The phosphodiesterase type 5 inhibitor tadalafil is a second-line pharmacotherapy. There is insufficient evidence to support use of integrative medicine therapies. Physicians should consult with a urology subspecialist when patients do not benefit from medical therapy or have refractory LUTS, recurrent urinary tract infections, gross hematuria, bladder stones, or renal insufficiency.","2021 Apr","Men's Health: Benign Prostatic Hyperplasia. Benign prostatic hyperplasia (BPH) commonly causes lower urinary tract symptoms (LUTS) through narrowing of the urethra and disruption of innervation of the gland. BPH is common in older men. Risk factors include Black race, Hispanic ethnicity, obesity, type 2 diabetes, high levels of alcohol consumption, physical inactivity, and a family history of BPH. The degree of LUTS can be assessed using the American Urological Association Symptom Index (AUASI). Watchful waiting is recommended for men with mild symptoms. Alpha 1 -adrenergic blockers or 5-alpha reductase inhibitors can be used to manage more severe symptoms. (This is an off-label use of some alpha 1 -adrenergic blockers.) Alpha 1 -adrenergic blockers typically are the initial choice. Combination therapy is more effective than monotherapy. Anticholinergics and beta 3 -adrenergic agonists can be used to manage irritative LUTS if the postvoiding residual urine volume is low. (This is an off-label use of anticholinergics and beta 3 -adrenergic agonists.) The phosphodiesterase type 5 inhibitor tadalafil is a second-line pharmacotherapy. There is insufficient evidence to support use of integrative medicine therapies. Physicians should consult with a urology subspecialist when patients do not benefit from medical therapy or have refractory LUTS, recurrent urinary tract infections, gross hematuria, bladder stones, or renal insufficiency."
"Relationship between alcohol use and overactive bladder disease: a cross-sectional study of the NHANES 2005-2016.","Overactive bladder syndrome (OAB) is a prevalent urological condition which has a substantial impact on the life quality of affected individuals, resulting in restrictions in daily activities and work productivity. Alcohol is a diuretic, which means that it increases urine production and can potentially worsen urinary urgency and frequency. Several studies have investigated the association between alcohol consumption and OAB symptoms, but the results have been conflicting. This study aimed to investigate the relationship between alcohol consumption and OAB symptoms using a large, nationally representative sample. Data from the National Health and Nutrition Examination Survey 2005-2016 were obtained for analysis. The Overactive Bladder Symptom Scale (OBSS) was used to determine the presence of OAB in each participant. Multivariate logistic regression and ordinal logistic regression were used to analyze the association of alcohol use frequency and quantity with the onset and severity of OAB, respectively. A total of 7,805 samples (representing the 1,473,525,341 US population after weighting) were included in our analysis. Approximately 12.4% of this weighted sample self-reported having OAB. A greater proportion of nondrinkers, a higher proportion of females, higher blood pressure, older age, and lower income levels were observed in OAB patients compared to non-OAB patients. Univariate logistic regression revealed that the risk of OAB was significantly greater in the nondrinker group than in the 1-5 drinks/month (OR 0.64; 95% CI, 0.50-0.83), 5-10 drinks/month (OR 0.60; 95% CI, 0.43-0.82) and 10+ drinks/month groups (OR 0.41; 95% CI, 0.30-0.56) and the risk of OAB in the lowest quartile of alcohol consumption quantity was significantly higher than the second (OR 0.58; 95% CI, 0.47-0.70), third (OR 0.49; 95% CI, 0.39-0.62), and highest quartiles groups (OR 0.58; 95% CI, 0.45-0.75). The adjusted model revealed that only patients in the 10+ drinks/month group had a significantly lower risk of OAB than did those in the nondrinker group (OR&#x202f;=&#x202f;0.64; 95% CI&#x202f;=&#x202f;0.45-0.92), while the other two groups had similar risks. Furthermore, no significant association was found for the highest quartiles in the adjusted model; however, the second and third quartiles of alcohol consumption quantity group still exhibited obvious associations. These findings suggest that higher alcohol consumption, when appropriate, is associated with a lower risk of OAB compared to nondrinkers and the lowest quartile of alcohol consumption quantity group, even after adjusting for age, sex, race, and comorbidities. In conclusion, our findings revealed a significant association between alcohol consumption and the incidence of OAB in the study population. In terms of long-term effects, alcohol may not be a risk factor for OAB. These factors may represent intervention targets for lowering the risk and severity of OAB symptoms, but this needs to be confirmed in large clinical trials.","2024","Relationship between alcohol use and overactive bladder disease: a cross-sectional study of the NHANES 2005-2016. Overactive bladder syndrome (OAB) is a prevalent urological condition which has a substantial impact on the life quality of affected individuals, resulting in restrictions in daily activities and work productivity. Alcohol is a diuretic, which means that it increases urine production and can potentially worsen urinary urgency and frequency. Several studies have investigated the association between alcohol consumption and OAB symptoms, but the results have been conflicting. This study aimed to investigate the relationship between alcohol consumption and OAB symptoms using a large, nationally representative sample. Data from the National Health and Nutrition Examination Survey 2005-2016 were obtained for analysis. The Overactive Bladder Symptom Scale (OBSS) was used to determine the presence of OAB in each participant. Multivariate logistic regression and ordinal logistic regression were used to analyze the association of alcohol use frequency and quantity with the onset and severity of OAB, respectively. A total of 7,805 samples (representing the 1,473,525,341 US population after weighting) were included in our analysis. Approximately 12.4% of this weighted sample self-reported having OAB. A greater proportion of nondrinkers, a higher proportion of females, higher blood pressure, older age, and lower income levels were observed in OAB patients compared to non-OAB patients. Univariate logistic regression revealed that the risk of OAB was significantly greater in the nondrinker group than in the 1-5 drinks/month (OR 0.64; 95% CI, 0.50-0.83), 5-10 drinks/month (OR 0.60; 95% CI, 0.43-0.82) and 10+ drinks/month groups (OR 0.41; 95% CI, 0.30-0.56) and the risk of OAB in the lowest quartile of alcohol consumption quantity was significantly higher than the second (OR 0.58; 95% CI, 0.47-0.70), third (OR 0.49; 95% CI, 0.39-0.62), and highest quartiles groups (OR 0.58; 95% CI, 0.45-0.75). The adjusted model revealed that only patients in the 10+ drinks/month group had a significantly lower risk of OAB than did those in the nondrinker group (OR&#x202f;=&#x202f;0.64; 95% CI&#x202f;=&#x202f;0.45-0.92), while the other two groups had similar risks. Furthermore, no significant association was found for the highest quartiles in the adjusted model; however, the second and third quartiles of alcohol consumption quantity group still exhibited obvious associations. These findings suggest that higher alcohol consumption, when appropriate, is associated with a lower risk of OAB compared to nondrinkers and the lowest quartile of alcohol consumption quantity group, even after adjusting for age, sex, race, and comorbidities. In conclusion, our findings revealed a significant association between alcohol consumption and the incidence of OAB in the study population. In terms of long-term effects, alcohol may not be a risk factor for OAB. These factors may represent intervention targets for lowering the risk and severity of OAB symptoms, but this needs to be confirmed in large clinical trials."
"[First-line treatment for non-neurogenic overactive bladder].","The aim was to synthesize current knowledge on overactive bladder (OAB) first-line treatments. A systematic literature review based on PubMed, Embase and Google Scholar was conducted in June 2020. Behavioral treatments are based on bladder training and timed voiding using a bladder diary. Lifestyle modifications should be suggested. They include reduction of fluid intake, consumption of caffeine, sodas, weight loss, avoidance of acidic fruit juices and of spicy and acidic salty diet, alkalization of urine by diet and possibly, vitamin D supplementation. Pelvic floor muscle training is mainly based on manual techniques, electrostimulation and/or biofeedback. It has been shown to be effective in treating OAB. In menopausal women, local hormone therapy improves all OAB symptoms. Oral drugs include anticholinergics and beta-3-agonists. Their efficacy is quite similar and superior to placebo. In case of failure of monotherapy, they may be combined. Apart from some lifestyle modifications, the efficacy of first-line treatments for OAB has been demonstrated by prospective controlled studies. They may be prescribed individually or in combination.","2020 Nov","[First-line treatment for non-neurogenic overactive bladder]. The aim was to synthesize current knowledge on overactive bladder (OAB) first-line treatments. A systematic literature review based on PubMed, Embase and Google Scholar was conducted in June 2020. Behavioral treatments are based on bladder training and timed voiding using a bladder diary. Lifestyle modifications should be suggested. They include reduction of fluid intake, consumption of caffeine, sodas, weight loss, avoidance of acidic fruit juices and of spicy and acidic salty diet, alkalization of urine by diet and possibly, vitamin D supplementation. Pelvic floor muscle training is mainly based on manual techniques, electrostimulation and/or biofeedback. It has been shown to be effective in treating OAB. In menopausal women, local hormone therapy improves all OAB symptoms. Oral drugs include anticholinergics and beta-3-agonists. Their efficacy is quite similar and superior to placebo. In case of failure of monotherapy, they may be combined. Apart from some lifestyle modifications, the efficacy of first-line treatments for OAB has been demonstrated by prospective controlled studies. They may be prescribed individually or in combination."
"Lower urinary tract symptoms and functional ability in older adults: a community-based cross-sectional study.","Functional ability, or the ability to live actively in older age, is essential for healthy ageing. This study assessed the association between the five types of lower urinary tract symptoms (LUTS) and functional ability among community-dwelling older adults (&#x2265;65 years old). A cross-sectional study. Community-dwelling older adults (&#x2265;65 years old) randomly selected from the basic resident register of Kashiwa city as part of the Kashiwa study. The study included 916 community-dwelling older adults (481 male participants) in Japan. A self-administered questionnaire was used to collect data regarding LUTS, which included frequency, nocturia, urgency, urinary incontinence and overactive bladder (OAB). Functional ability was measured using the Japan Science and Technology Agency Index of Competence. Sex-stratified logistic regression analyses were conducted, adjusting age, obesity, alcohol consumption, polypharmacy and comorbidities. Male participants experienced symptoms of frequency, nocturia, urgency, urinary incontinence and OAB at rates of 68.0%, 89.0%, 16.0%, 3.7% and 4.3%, respectively. Female participants experienced these symptoms at rates of 68.3%, 80.0%, 11.0%, 7.4% and 8.5%, respectively. Among male participants, lower functional ability was only associated with nocturia (&#x2265;3 times/night) (adjusted OR (AOR): 1.71, 95% CI 1.05 to 2.79). Contrarily, lower functional ability among female participants was significantly associated with frequency (AOR: 1.61, 95% CI 1.04 to 2.49), urgency (AOR: 2.06, 95% CI 1.08 to 3.95) and OAB (AOR: 2.43, 95% CI 1.15 to 5.11). The different associations between LUTS and functional ability by sex might be related to differences in the effect of comorbidities and physical fatigue. Our results help clarify the multifaceted effects of LUTS in old age, the need for early detection and treatment of LUTS, and the importance of maintaining functional ability.","2022 Apr 25","Lower urinary tract symptoms and functional ability in older adults: a community-based cross-sectional study. Functional ability, or the ability to live actively in older age, is essential for healthy ageing. This study assessed the association between the five types of lower urinary tract symptoms (LUTS) and functional ability among community-dwelling older adults (&#x2265;65 years old). A cross-sectional study. Community-dwelling older adults (&#x2265;65 years old) randomly selected from the basic resident register of Kashiwa city as part of the Kashiwa study. The study included 916 community-dwelling older adults (481 male participants) in Japan. A self-administered questionnaire was used to collect data regarding LUTS, which included frequency, nocturia, urgency, urinary incontinence and overactive bladder (OAB). Functional ability was measured using the Japan Science and Technology Agency Index of Competence. Sex-stratified logistic regression analyses were conducted, adjusting age, obesity, alcohol consumption, polypharmacy and comorbidities. Male participants experienced symptoms of frequency, nocturia, urgency, urinary incontinence and OAB at rates of 68.0%, 89.0%, 16.0%, 3.7% and 4.3%, respectively. Female participants experienced these symptoms at rates of 68.3%, 80.0%, 11.0%, 7.4% and 8.5%, respectively. Among male participants, lower functional ability was only associated with nocturia (&#x2265;3 times/night) (adjusted OR (AOR): 1.71, 95% CI 1.05 to 2.79). Contrarily, lower functional ability among female participants was significantly associated with frequency (AOR: 1.61, 95% CI 1.04 to 2.49), urgency (AOR: 2.06, 95% CI 1.08 to 3.95) and OAB (AOR: 2.43, 95% CI 1.15 to 5.11). The different associations between LUTS and functional ability by sex might be related to differences in the effect of comorbidities and physical fatigue. Our results help clarify the multifaceted effects of LUTS in old age, the need for early detection and treatment of LUTS, and the importance of maintaining functional ability."
"The relationship between overactive bladder and attachment: A preliminary study.","There are strong relationships between overactive bladder (OAB) and psychological factors. The aim of this study was to examine the relationship between OAB and attachment. Patients who presented with OAB symptoms and were first diagnosed with OAB were included in the study. Patient and control groups were matched in terms of age and gender. A urological and psychiatric examination was performed on each participant. The severity of patients' OAB symptoms was assessed using the Overactive Bladder-V8 Questionnaire (OAB-v8). The characteristics of attachment patterns were evaluated using The Close Relationships Scale Revised. The OAB and control groups included 41 and 43 participants, respectively. No significant difference was found between the two groups with regard to alcohol abuse, daily cigarette consumption, marital status, and gender. The prevalence of anxious attachment was significantly higher in the OAB group than in the control group (p&#x2009;<&#x2009;0.001), whereas no significant difference was found with regard to avoidant attachment (p&#x2009;=&#x2009;0.18). A significant relationship was found between the OAB-v8 score and anxious attachment in OAB patients (r&#x2009;=&#x2009;0.50; p&#x2009;<&#x2009;0.001). Our findings suggest that insecure attachment, especially anxious attachment is associated with OAB and the severity of OAB symptoms. More extensive and longitudinal studies can better show the relationship between attachment and OAB. Future research may focus on the possibility of causality between attachment and OAB.","2021 Jun","The relationship between overactive bladder and attachment: A preliminary study. There are strong relationships between overactive bladder (OAB) and psychological factors. The aim of this study was to examine the relationship between OAB and attachment. Patients who presented with OAB symptoms and were first diagnosed with OAB were included in the study. Patient and control groups were matched in terms of age and gender. A urological and psychiatric examination was performed on each participant. The severity of patients' OAB symptoms was assessed using the Overactive Bladder-V8 Questionnaire (OAB-v8). The characteristics of attachment patterns were evaluated using The Close Relationships Scale Revised. The OAB and control groups included 41 and 43 participants, respectively. No significant difference was found between the two groups with regard to alcohol abuse, daily cigarette consumption, marital status, and gender. The prevalence of anxious attachment was significantly higher in the OAB group than in the control group (p&#x2009;<&#x2009;0.001), whereas no significant difference was found with regard to avoidant attachment (p&#x2009;=&#x2009;0.18). A significant relationship was found between the OAB-v8 score and anxious attachment in OAB patients (r&#x2009;=&#x2009;0.50; p&#x2009;<&#x2009;0.001). Our findings suggest that insecure attachment, especially anxious attachment is associated with OAB and the severity of OAB symptoms. More extensive and longitudinal studies can better show the relationship between attachment and OAB. Future research may focus on the possibility of causality between attachment and OAB."
"Marijuana, Alcohol, and ED: Correlations with LUTS/BPH.","Benign prostatic hyperplasia (BPH) and lower urinary tract symptoms (LUTS) is a disease complex with enormous societal burden and yet the pathogenesis of LUTS/BPH is poorly understood. We set out to review the literature on the relationship between depression, marijuana usage, and erectile dysfunction (ED) to LUTS/BPH. LUTS/BPH has independent associations with depression as well as with ED. In each case, the causality and mechanistic relationship is unknown. The impact of marijuana, as it increasingly pervades the general population, on the disease complex of LUTS/BPH is not well studied but recent results support short-term benefit and long-term caution. Depression, a form of central nervous dysfunction, and ED, which is likely mediated via endothelial dysfunction, are independently associated with LUTS/BPH. The presence of cannabinoid receptors in urologic organs, coupled with recent population studies, supports a modulatory effect of marijuana on voiding although an enormous knowledge gap remains.","2021 Feb 8","Marijuana, Alcohol, and ED: Correlations with LUTS/BPH. Benign prostatic hyperplasia (BPH) and lower urinary tract symptoms (LUTS) is a disease complex with enormous societal burden and yet the pathogenesis of LUTS/BPH is poorly understood. We set out to review the literature on the relationship between depression, marijuana usage, and erectile dysfunction (ED) to LUTS/BPH. LUTS/BPH has independent associations with depression as well as with ED. In each case, the causality and mechanistic relationship is unknown. The impact of marijuana, as it increasingly pervades the general population, on the disease complex of LUTS/BPH is not well studied but recent results support short-term benefit and long-term caution. Depression, a form of central nervous dysfunction, and ED, which is likely mediated via endothelial dysfunction, are independently associated with LUTS/BPH. The presence of cannabinoid receptors in urologic organs, coupled with recent population studies, supports a modulatory effect of marijuana on voiding although an enormous knowledge gap remains."
"Medical treatment of lower urinary tract symptoms/benign prostatic hyperplasia: anything new in 2015.","The purpose of this study is to provide an update on recent developments regarding the medical management of male lower urinary tract symptoms (LUTS). Silodosin improves storage/voiding symptoms and nocturia and is effective within the framework of a trial without a catheter. 5&#x3b1;-reductase inhibitors (5ARIs) are not associated with male breast cancer development. Alcohol consumption seems to increase the risk of high-grade prostate cancer under 5ARIs. The combination of &#x3b1;-blocker and 5ARIs remains a well established concept for benign prostatic hyperplasia/LUTS patients with an enhanced risk of disease progression. Tadalafil 5&#x200a;mg/day monotherapy is a valid option particularly for men with LUTS and erectile dysfunction; the combination of Tadalafil 5&#x200a;mg/day with a 5ARI is an interesting approach. The fixed-dose combination of &#x3b1;-blocker and antimuscarinic provides advantages regarding storage symptom improvement. This approach is currently primarily recommended as an add-on strategy. Mirabegron opens new horizons in the management of male LUTS and has no negative (but also no positive) urodynamic effects. Several encouraging novel approaches are currently in the experimental phase and might enhance our therapeutic armamentarium in the near future. The recent literature refines our knowledge on current therapeutic options and provides further evidence for an individualized, risk-adapted approach for male LUTS mainly depending on symptoms status, comorbidities (i.e. erectile dysfunction) and risk of disease progression.","2015 Jan","Medical treatment of lower urinary tract symptoms/benign prostatic hyperplasia: anything new in 2015. The purpose of this study is to provide an update on recent developments regarding the medical management of male lower urinary tract symptoms (LUTS). Silodosin improves storage/voiding symptoms and nocturia and is effective within the framework of a trial without a catheter. 5&#x3b1;-reductase inhibitors (5ARIs) are not associated with male breast cancer development. Alcohol consumption seems to increase the risk of high-grade prostate cancer under 5ARIs. The combination of &#x3b1;-blocker and 5ARIs remains a well established concept for benign prostatic hyperplasia/LUTS patients with an enhanced risk of disease progression. Tadalafil 5&#x200a;mg/day monotherapy is a valid option particularly for men with LUTS and erectile dysfunction; the combination of Tadalafil 5&#x200a;mg/day with a 5ARI is an interesting approach. The fixed-dose combination of &#x3b1;-blocker and antimuscarinic provides advantages regarding storage symptom improvement. This approach is currently primarily recommended as an add-on strategy. Mirabegron opens new horizons in the management of male LUTS and has no negative (but also no positive) urodynamic effects. Several encouraging novel approaches are currently in the experimental phase and might enhance our therapeutic armamentarium in the near future. The recent literature refines our knowledge on current therapeutic options and provides further evidence for an individualized, risk-adapted approach for male LUTS mainly depending on symptoms status, comorbidities (i.e. erectile dysfunction) and risk of disease progression."
"You are what you eat: the impact of diet on overactive bladder and lower urinary tract symptoms.","Overactive bladder (OAB) is a clinical syndrome describing the symptom complex of urgency, with or without urgency incontinence and is usually associated with frequency and nocturia. The symptoms associated with OAB are common and whilst not life threatening are known to have a significant impact on the quality of life (QoL). There is increasing evidence that diet may have a significant role in the development of OAB symptoms. Whilst fluid in-take is known to affect lower urinary tract function the effects of caffeine, carbonated drinks and artificial sweeteners are less well understood. Consequently the aim of this paper is to review the evidence and investigate the effect of diet on lower urinary tract function and dysfunction.","2014 Sep","You are what you eat: the impact of diet on overactive bladder and lower urinary tract symptoms. Overactive bladder (OAB) is a clinical syndrome describing the symptom complex of urgency, with or without urgency incontinence and is usually associated with frequency and nocturia. The symptoms associated with OAB are common and whilst not life threatening are known to have a significant impact on the quality of life (QoL). There is increasing evidence that diet may have a significant role in the development of OAB symptoms. Whilst fluid in-take is known to affect lower urinary tract function the effects of caffeine, carbonated drinks and artificial sweeteners are less well understood. Consequently the aim of this paper is to review the evidence and investigate the effect of diet on lower urinary tract function and dysfunction."
"Systemic Immune-Inflammation Index and Neutrophil-To-Lymphocyte Ratio: U-Shaped Association With Overactive Bladder.","This study aims to examine the association of systemic immune-inflammation index (SII) and neutrophil-to-lymphocyte ratio (NLR) with the prevalence of overactive bladder (OAB). This cross-sectional study analyzed data from 22,343 participants (&#x2265;&#x2009;20&#x2009;years) in the National Health and Nutrition Examination Survey (2005-2018). We applied weighted multivariate logistic regression, restricted cubic spline (RCS) regression, subgroup, and sensitivity analyses to assess the associations between SII, NLR, and OAB. RCS analysis revealed U-shaped relationships with inflection points at 6.13 for ln(SII) and 0.65 for ln(NLR). In the fully adjusted model, ln(SII) &#x2264;&#x2009;6.13 showed a negative correlation with OAB (OR&#x2009;=&#x2009;0.83; 95% CI: 0.70-0.99), while ln(SII) >&#x2009;6.13 was positively correlated (OR&#x2009;=&#x2009;1.32; 95% CI: 1.10-1.58). Similarly, ln(NLR)&#x2009;>&#x2009;0.65 correlated positively with OAB (OR&#x2009;=&#x2009;1.40; 95% CI: 1.16-1.71). Subgroup analyses revealed significant differences in alcohol use subgroups for ln(SII)&#x2009;&#x2264;&#x2009;6.13 and ln(NLR)&#x2009;&#x2264;&#x2009;0.65 (P for interaction <&#x2009;0.05). SII and NLR may serve as biomarkers for assessing OAB risk.","2025 Sep","Systemic Immune-Inflammation Index and Neutrophil-To-Lymphocyte Ratio: U-Shaped Association With Overactive Bladder. This study aims to examine the association of systemic immune-inflammation index (SII) and neutrophil-to-lymphocyte ratio (NLR) with the prevalence of overactive bladder (OAB). This cross-sectional study analyzed data from 22,343 participants (&#x2265;&#x2009;20&#x2009;years) in the National Health and Nutrition Examination Survey (2005-2018). We applied weighted multivariate logistic regression, restricted cubic spline (RCS) regression, subgroup, and sensitivity analyses to assess the associations between SII, NLR, and OAB. RCS analysis revealed U-shaped relationships with inflection points at 6.13 for ln(SII) and 0.65 for ln(NLR). In the fully adjusted model, ln(SII) &#x2264;&#x2009;6.13 showed a negative correlation with OAB (OR&#x2009;=&#x2009;0.83; 95% CI: 0.70-0.99), while ln(SII) >&#x2009;6.13 was positively correlated (OR&#x2009;=&#x2009;1.32; 95% CI: 1.10-1.58). Similarly, ln(NLR)&#x2009;>&#x2009;0.65 correlated positively with OAB (OR&#x2009;=&#x2009;1.40; 95% CI: 1.16-1.71). Subgroup analyses revealed significant differences in alcohol use subgroups for ln(SII)&#x2009;&#x2264;&#x2009;6.13 and ln(NLR)&#x2009;&#x2264;&#x2009;0.65 (P for interaction <&#x2009;0.05). SII and NLR may serve as biomarkers for assessing OAB risk."
"Association between lower urinary tract symptoms and cigarette smoking or alcohol drinking.","Although there have been several studies about the relationship between alcohol or smoking and lower urinary tracts symptoms (LUTS). This study aimed to investigate the association between alcohol or smoking and severity of LUTS in men, as alcohol intake and cigarette smoking is important modifiable lifestyle factors for LUTS. A cross-sectional analysis has been performed and a total of 86,707 participants in Korean Community Health Survey were included for final analysis. The adjusted odds ratio (OR) or coefficient with 95% confidence interval (CI) estimates were described to show the association between alcohol consumption or cigarette smoking and LUTS. Among the total subjects, 77,398 (89.3%), 7,532 (8.7%), and 1,777 (2.0%) had mild, moderate, and severe symptoms, respectively, according to International Prostate Symptom Score (IPSS) grade. Those who drank alcohol at least once per month were significantly associated with decreased risk of having the worst IPSS grade (OR: 0.80, 95% CI: 0.68 to 0.93). Those who smoked in the past but currently quitted and those who were daily smokers showed significantly increased risk of having the worst IPSS grade (past smoker, OR: 1.26, 95% CI: 1.14 to 1.39; daily smoker, OR: 1.21, 95% CI: 1.10 to 1.34). For nocturia, daily smoking showed positive effect (OR: 0.79, 95% CI: 0.75 to 0.84) whereas heavy alcohol drinking showed negative effect (OR: 1.22, 95% CI: 1.14 to 1.32). Alcohol showed positive effect on LUTS except nocturia whereas cigarette smoking had negative effect on LUTS except nocturia. Daily smoking showed positive effect on nocturia whereas heavy alcohol drinking showed negative effect on nocturia.","2020 Apr","Association between lower urinary tract symptoms and cigarette smoking or alcohol drinking. Although there have been several studies about the relationship between alcohol or smoking and lower urinary tracts symptoms (LUTS). This study aimed to investigate the association between alcohol or smoking and severity of LUTS in men, as alcohol intake and cigarette smoking is important modifiable lifestyle factors for LUTS. A cross-sectional analysis has been performed and a total of 86,707 participants in Korean Community Health Survey were included for final analysis. The adjusted odds ratio (OR) or coefficient with 95% confidence interval (CI) estimates were described to show the association between alcohol consumption or cigarette smoking and LUTS. Among the total subjects, 77,398 (89.3%), 7,532 (8.7%), and 1,777 (2.0%) had mild, moderate, and severe symptoms, respectively, according to International Prostate Symptom Score (IPSS) grade. Those who drank alcohol at least once per month were significantly associated with decreased risk of having the worst IPSS grade (OR: 0.80, 95% CI: 0.68 to 0.93). Those who smoked in the past but currently quitted and those who were daily smokers showed significantly increased risk of having the worst IPSS grade (past smoker, OR: 1.26, 95% CI: 1.14 to 1.39; daily smoker, OR: 1.21, 95% CI: 1.10 to 1.34). For nocturia, daily smoking showed positive effect (OR: 0.79, 95% CI: 0.75 to 0.84) whereas heavy alcohol drinking showed negative effect (OR: 1.22, 95% CI: 1.14 to 1.32). Alcohol showed positive effect on LUTS except nocturia whereas cigarette smoking had negative effect on LUTS except nocturia. Daily smoking showed positive effect on nocturia whereas heavy alcohol drinking showed negative effect on nocturia."
"Fluids affecting bladder urgency and lower urinary symptoms: results from a randomized controlled trial.","Caffeinated, alcoholic, artificially sweetened, carbonated, and acidic beverages are pervasive and consumed in large quantities. Reputedly, these beverages are ""irritating to the bladder"" and result in heightened void frequency, but prior studies lack control for intake volume. We tested the null hypothesis that women recruited from the community who demonstrate overactive bladder symptoms will show no difference by groups in void frequency when one group is instructed to replace listed beverages by substituting non-irritants (emphasis on water or milk) and the other group is instructed in healthy eating. This was a parallel-group randomized controlled trial design with a three-period fixed sequence (baseline and 2 and 6&#xa0;weeks post-baseline). We recruited 105 community women with overactive bladder symptoms. >7 voids per day or 2 voids per night, daily intake of &#x2265;16&#xa0;oz. (473 ml) of beverages containing the ingredients listed above, and&#x2009;&#x2265;&#x2009;32&#xa0;oz. (946 ml) of total fluid intake. Stratified randomization was conducted. The primary outcome was average daily void frequency on a 3-day diary. Participants were 86% white, mean (SD) age was 46.6 (17.6) years, and baseline void frequency was 9.2 (2.9) voids per day. At 2 and 6&#xa0;weeks, estimated average (SD) difference in void frequency between group 1 and group 2 was -0.46 (0.57) and&#x2009;-0.31 (0.57) voids per day (p&#x2009;>&#x2009;0.05); the null hypothesis was not rejected. Women who reduce potentially irritating beverages while maintaining total fluid volume intake is not predictive of void frequency. Further research on type and volume of beverage intake is recommended.","2022 May","Fluids affecting bladder urgency and lower urinary symptoms: results from a randomized controlled trial. Caffeinated, alcoholic, artificially sweetened, carbonated, and acidic beverages are pervasive and consumed in large quantities. Reputedly, these beverages are ""irritating to the bladder"" and result in heightened void frequency, but prior studies lack control for intake volume. We tested the null hypothesis that women recruited from the community who demonstrate overactive bladder symptoms will show no difference by groups in void frequency when one group is instructed to replace listed beverages by substituting non-irritants (emphasis on water or milk) and the other group is instructed in healthy eating. This was a parallel-group randomized controlled trial design with a three-period fixed sequence (baseline and 2 and 6&#xa0;weeks post-baseline). We recruited 105 community women with overactive bladder symptoms. >7 voids per day or 2 voids per night, daily intake of &#x2265;16&#xa0;oz. (473 ml) of beverages containing the ingredients listed above, and&#x2009;&#x2265;&#x2009;32&#xa0;oz. (946 ml) of total fluid intake. Stratified randomization was conducted. The primary outcome was average daily void frequency on a 3-day diary. Participants were 86% white, mean (SD) age was 46.6 (17.6) years, and baseline void frequency was 9.2 (2.9) voids per day. At 2 and 6&#xa0;weeks, estimated average (SD) difference in void frequency between group 1 and group 2 was -0.46 (0.57) and&#x2009;-0.31 (0.57) voids per day (p&#x2009;>&#x2009;0.05); the null hypothesis was not rejected. Women who reduce potentially irritating beverages while maintaining total fluid volume intake is not predictive of void frequency. Further research on type and volume of beverage intake is recommended."
"Epidemiology and risk factors of lower urinary tract symptoms/benign prostatic hyperplasia and erectile dysfunction.","Benign prostatic hyperplasia (BPH) is very common in aging men and causes lower urinary tract symptoms (LUTS), which decrease health-related quality of life. A number of evidence suggests that other than ageing, modifiable factors, such as increasing prostate volume, obesity, diet, dyslipidemia, hormonal imbalance, hypertension, metabolic syndrome, alcohol, and smoking, also contribute to the development of BPH and/or LUTS. More recently, erectile dysfunction (ED) has been linked to LUTS/BPH as a part of this syndrome, suggesting that patients with BPH or LUTS easily develop ED, and that LUTS/BPH symptoms often coexist with ED. This article focuses on the epidemiology and risk factors of the combined phenotype LUTS/BPH - ED.","2019 Mar","Epidemiology and risk factors of lower urinary tract symptoms/benign prostatic hyperplasia and erectile dysfunction. Benign prostatic hyperplasia (BPH) is very common in aging men and causes lower urinary tract symptoms (LUTS), which decrease health-related quality of life. A number of evidence suggests that other than ageing, modifiable factors, such as increasing prostate volume, obesity, diet, dyslipidemia, hormonal imbalance, hypertension, metabolic syndrome, alcohol, and smoking, also contribute to the development of BPH and/or LUTS. More recently, erectile dysfunction (ED) has been linked to LUTS/BPH as a part of this syndrome, suggesting that patients with BPH or LUTS easily develop ED, and that LUTS/BPH symptoms often coexist with ED. This article focuses on the epidemiology and risk factors of the combined phenotype LUTS/BPH - ED."
